Individual/Business name,Address,Economic activity,Year
Chem Dye,"19 Crossley St, Melbourne, Australia",[no data],1910
"Kee, Mrs Ellen","19 Crossley St, Melbourne, Australia",[no data],1914
Sam Die,"19 Crossley St, Melbourne, Australia",[no data],1915
Sam Hie,"19 Crossley St, Melbourne, Australia",[no data],1916
Sam Die,"19 Crossley St, Melbourne, Australia",[no data],1917
Sam Die,"19 Crossley St, Melbourne, Australia",[no data],1918
Sam Die,"19 Crossley St, Melbourne, Australia",[no data],1919
"Jack, Alfred E.","19 Crossley St, Melbourne, Australia",[no data],1940
3rd of '6 houses occupied by Chinamen',"20 Crossley St, Melbourne, Australia",[no data],1902
vacant,"21 Crossley St, Melbourne, Australia",vacant,1900
4th of '6 houses occupied by Chinamen',"21 Crossley St, Melbourne, Australia",[no data],1902
2nd of '4 houses occupied by Chinamen',"21 Crossley St, Melbourne, Australia",[no data],1903
Ah Mow,"21 Crossley St, Melbourne, Australia",cabinetmaker,1904
Ah Cum,"21 Crossley St, Melbourne, Australia",[no data],1908
"Tye, George","21 Crossley St, Melbourne, Australia",[no data],1909
"Tye, George","21 Crossley St, Melbourne, Australia",[no data],1910
Lee Hing,"21 Crossley St, Melbourne, Australia",[no data],1914
Lee Hing,"21 Crossley St, Melbourne, Australia",[no data],1915
Lee Hing,"21 Crossley St, Melbourne, Australia",[no data],1916
Lee Hing,"21 Crossley St, Melbourne, Australia",[no data],1917
Lee Hing,"21 Crossley St, Melbourne, Australia",[no data],1918
Ah You,"21 Crossley St, Melbourne, Australia",[no data],1919
Chinese,"21 Crossley St, Melbourne, Australia",[no data],1940
5th of '6 houses occupied by Chinamen',"22 Crossley St, Melbourne, Australia",[no data],1902
Ah Soon,"23 Crossley St, Melbourne, Australia",[no data],1900
6th of '6 houses occupied by Chinamen',"23 Crossley St, Melbourne, Australia",[no data],1902
3rd of '4 houses occupied by Chinamen',"23 Crossley St, Melbourne, Australia",[no data],1903
vacant,"23 Crossley St, Melbourne, Australia",vacant,1904
Ah Gid,"23 Crossley St, Melbourne, Australia",cabinet maker,1908
Ah Sam,"23 Crossley St, Melbourne, Australia",cabinetmaker,1909
Lee Sam,"23 Crossley St, Melbourne, Australia",[no data],1910
"Goon, Samual","23 Crossley St, Melbourne, Australia",[no data],1914
"Goon, Samuel","23 Crossley St, Melbourne, Australia",[no data],1915
"Goon, Samuel","23 Crossley St, Melbourne, Australia",[no data],1916
"Atkins, William J.","23 Crossley St, Melbourne, Australia",[no data],1940
"Cohen, Mrs Emily","24 Crossley St, Melbourne, Australia",[no data],1902
Kee Lee,"25 Crossley St, Melbourne, Australia",cabinetmaker,1900
Kee Lee,"25 Crossley St, Melbourne, Australia",cabinetmaker,1901
Kee Lee,"25 Crossley St, Melbourne, Australia",cabinetmaker,1902
4th of '4 houses occupied by Chinamen',"25 Crossley St, Melbourne, Australia",[no data],1903
vacant,"25 Crossley St, Melbourne, Australia",vacant,1904
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinetmaker,1905
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinetmaker,1907
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1908
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1909
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1910
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1911
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinetmaker,1912
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1913
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1914
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1915
Lee Hoi,"25 Crossley St, Melbourne, Australia",cabinet maker,1916
"Boyd, Jas. W.","25 Crossley St, Melbourne, Australia",[no data],1920
Chinese,"25 Crossley St, Melbourne, Australia",[no data],1940
Hoong Yick & Co,"26 Crossley St, Melbourne, Australia",cabinet makers,1913
vacant,"26 Crossley St, Melbourne, Australia",vacant,1920
Ah Moy,"27 Crossley St, Melbourne, Australia",fishhmonger,1900
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1901
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1902
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1903
"Scully, Patrick","27 Crossley St, Melbourne, Australia",[no data],1903
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1904
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1905
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1906
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1907
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1908
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1909
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1910
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1911
Ah Moy,"27 Crossley St, Melbourne, Australia",fishmonger,1912
vacant,"27 Crossley St, Melbourne, Australia",vacant,1913
Lim Foo,"27 Crossley St, Melbourne, Australia",[no data],1914
Lim Foo,"27 Crossley St, Melbourne, Australia",[no data],1915
Lim Foo,"27 Crossley St, Melbourne, Australia",[no data],1916
"Carroll, H.J.","27 Crossley St, Melbourne, Australia",mtr painter,1940
Lee Pout,"28 Crossley St, Melbourne, Australia",wood carver,1902
Lee Cog,"28 Crossley St, Melbourne, Australia",wood carver,1903
Lee Cog,"28 Crossley St, Melbourne, Australia",wood carver,1904
Lee Cog,"28 Crossley St, Melbourne, Australia",wood carver,1905
Lee Cog,"28 Crossley St, Melbourne, Australia",wood carver,1906
Lee Cog,"28 Crossley St, Melbourne, Australia",wood carver,1907
Lee Gog Bros,"28 Crossley St, Melbourne, Australia",cabinet makers,1908
Lee Gog Bros,"28 Crossley St, Melbourne, Australia",cabinet makers,1909
Hoong Yick & Co,"28 Crossley St, Melbourne, Australia",cabinet makers,1912
Hoong Yick & Co,"28 Crossley St, Melbourne, Australia",cabinet makers,1914
Hoong Yick & Co,"28 Crossley St, Melbourne, Australia",cabinet makers,1915
Hoong Yick & Co,"28 Crossley St, Melbourne, Australia",cabinet makers,1916
Hoong Yick & Co,"28 Crossley St, Melbourne, Australia",cabinet makers,1917
vacant,"28 Crossley St, Melbourne, Australia",vacant,1918
vacant,"28 Crossley St, Melbourne, Australia",vacant,1919
Melbourne City Council Elect. S,"28 Crossley St, Melbourne, Australia",sub station,1940
Occupied by Chinese,"29 Crossley St, Melbourne, Australia",[no data],1900
"Farrar, William & Sons","29 Crossley St, Melbourne, Australia",wood carvers,1901
"Scully, Patrick","29 Crossley St, Melbourne, Australia",[no data],1901
"Farrar, William, & Sons","29 Crossley St, Melbourne, Australia",wood carvers,1902
"Scully, Patrick","29 Crossley St, Melbourne, Australia",[no data],1902
Tong Lee,"29 Crossley St, Melbourne, Australia",[no data],1903
Tong Lee,"29 Crossley St, Melbourne, Australia",[no data],1904
Tong Lee,"29 Crossley St, Melbourne, Australia",[no data],1905
Ah Hoy,"29 Crossley St, Melbourne, Australia",cabinet maker,1908
"Midolo, Mrs Susan","29 Crossley St, Melbourne, Australia",[no data],1908
He Kay,"29 Crossley St, Melbourne, Australia",cabinetmaker,1909
Ho Kay,"29 Crossley St, Melbourne, Australia",cabinetmaker,1910
Occupied by Chinese,"29 Crossley St, Melbourne, Australia",[no data],1911
Occupied by Chinese,"29 Crossley St, Melbourne, Australia",[no data],1913
Occupied by Chinese,"29 Crossley St, Melbourne, Australia",[no data],1914
Occupied by Chinese,"29 Crossley St, Melbourne, Australia",[no data],1915
Occupied by Chinese,"29 Crossley St, Melbourne, Australia",[no data],1916
"Pett, H.E, & Co","29 Crossley St, Melbourne, Australia",works,1940
Crossley Food Products,"29 Crossley St, Melbourne, Australia",food products manufacturer,1940
"Goon, Saml., & Co","30 Crossley St, Melbourne, Australia",furn mfrs,1907
"Goon, Samual &Co","30 Crossley St, Melbourne, Australia",furniture manufrs,1908
Hoong Pang,"30 Crossley St, Melbourne, Australia",cabinetmakers,1909
Lee Gog Bros,"30 Crossley St, Melbourne, Australia",cabinetmakers,1910
Tong Kee,"30 Crossley St, Melbourne, Australia",cabinetmaker,1911
Tong Kee,"30 Crossley St, Melbourne, Australia",cabinetmaker,1912
Fook Wah Cheong,"30 Crossley St, Melbourne, Australia",cabinetmaker,1913
Fook Wah Cheong,"30 Crossley St, Melbourne, Australia",cabinetmaker,1914
Fook Wah Cheong,"30 Crossley St, Melbourne, Australia",cabinetmaker,1915
Fook Wah Cheong,"30 Crossley St, Melbourne, Australia",cabinetmaker,1916
vacant,"30 Crossley St, Melbourne, Australia",vacant,1917
vacant,"30 Crossley St, Melbourne, Australia",vacant,1918
Ajax Engineering Co,"30 Crossley St, Melbourne, Australia",[no data],1919
Ajax Engineering Co,"30 Crossley St, Melbourne, Australia",[no data],1920
Dunkling's,"30 Crossley St, Melbourne, Australia",workshop,1940
Domino Shirt Co,"30 Crossley St, Melbourne, Australia",storage,1940
"Pett, H.E. & Co","30 Crossley St, Melbourne, Australia",printers,1940
"Ah Loy, Percy","31 Crossley St, Melbourne, Australia",[no data],1904
"McDonald, August A.","31 Crossley St, Melbourne, Australia",[no data],1909
Ah Sing,"31 Crossley St, Melbourne, Australia",[no data],1910
Occupied by Chinese,"31 Crossley St, Melbourne, Australia",[no data],1912
Arno Art Metal,"31 Crossley St, Melbourne, Australia",showstand makers,1940
"Hyams, Philip","32 Crossley St, Melbourne, Australia",slipper manufacturer,1900
"Farrar, William, & Sons","32 Crossley St, Melbourne, Australia",wood carvers,1900
"Scully, Patrick","32 Crossley St, Melbourne, Australia",[no data],1900
vacant,"32 Crossley St, Melbourne, Australia",vacant,1901
Sun Man Sing,"32 Crossley St, Melbourne, Australia",furniture maker,1902
Sun Man Sing,"32 Crossley St, Melbourne, Australia",furniture maker,1903
"Selman, William","32 Crossley St, Melbourne, Australia",cabinetmaker,1904
"Selman, William","32 Crossley St, Melbourne, Australia",table manufacturer,1905
"Selman, William","32 Crossley St, Melbourne, Australia",table manufacturer,1906
Sun Loong,"32 Crossley St, Melbourne, Australia",cabinetmaker,1907
"Young, George","32 Crossley St, Melbourne, Australia",cabinetmaker,1910
"Young, George","32 Crossley St, Melbourne, Australia",cabinetmaker,1911
"Young, George","32 Crossley St, Melbourne, Australia",cabinetmaker,1912
Aspinall & Sheehan,"32 Crossley St, Melbourne, Australia",brass finishers,1913
Cawsey & Mence,"32 Crossley St, Melbourne, Australia",engineers,1914
Cawsey & Mence,"32 Crossley St, Melbourne, Australia",engineers,1915
Cawsay & Metick,"32 Crossley St, Melbourne, Australia",engineers,1916
"Phillips, Mrs M.A.","34 Crossley St, Melbourne, Australia",[no data],1904
"Phillips, Mrs Mary A.","34 Crossley St, Melbourne, Australia",[no data],1905
"Phillips, Mrs Mary A.","34 Crossley St, Melbourne, Australia",[no data],1906
Wah Gan,"34 Crossley St, Melbourne, Australia",[no data],1907
Mong Quah,"34 Crossley St, Melbourne, Australia",[no data],1908
"Midolo, Mrs Susan","34 Crossley St, Melbourne, Australia",[no data],1909
"Cleaver, George","34 Crossley St, Melbourne, Australia",[no data],1910
"Cleaver, George","34 Crossley St, Melbourne, Australia",[no data],1911
"Cleaver, George","34 Crossley St, Melbourne, Australia",[no data],1912
Occupied by Chinese,"34 Crossley St, Melbourne, Australia",[no data],1913
Occupied by Chinese,"34 Crossley St, Melbourne, Australia",[no data],1914
Occupied by Chinese,"34 Crossley St, Melbourne, Australia",[no data],1915
Occupied by Chinese,"34 Crossley St, Melbourne, Australia",[no data],1916
Occupied by Chinese,"34 Crossley St, Melbourne, Australia",[no data],1917
"Lewin, Thos","34 Crossley St, Melbourne, Australia",[no data],1918
"Wiseman, Robt","34 Crossley St, Melbourne, Australia",[no data],1918
"Lewin, Thos","34 Crossley St, Melbourne, Australia",[no data],1919
"Wiseman, Robt","34 Crossley St, Melbourne, Australia",[no data],1919
"Boyd, Wm","34 Crossley St, Melbourne, Australia",[no data],1920
"Gladstones, S.","34 Crossley St, Melbourne, Australia",motor engineer,1940
"Gladstones, R.","34 Crossley St, Melbourne, Australia",plumber,1940
Occupied by Chinese,"36 Crossley St, Melbourne, Australia",[no data],1900
Occupied by Chinese,"36 Crossley St, Melbourne, Australia",[no data],1901
vacant,"36 Crossley St, Melbourne, Australia",vacant,1902
Foon Lee,"36 Crossley St, Melbourne, Australia",cabinetmaker,1903
Ah Young,"36 Crossley St, Melbourne, Australia",[no data],1904
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1907
Ah Long,"36 Crossley St, Melbourne, Australia",[no data],1908
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1909
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1911
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1912
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1913
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1914
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1915
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1916
Ah Tong,"36 Crossley St, Melbourne, Australia",[no data],1917
"Newbigin, J.L., & Co","36 Crossley St, Melbourne, Australia",elctrcl contrs,1918
Meadway & Slatterie,"36 Crossley St, Melbourne, Australia",organ works,1918
"Newbigin, J.L, & Co","36 Crossley St, Melbourne, Australia",electrcl contrs,1919
Meadway & Slatterie,"36 Crossley St, Melbourne, Australia",organ works,1919
"Newbigin, J.L., & Co","36 Crossley St, Melbourne, Australia",electrcl contrs,1920
Meadway & Slatterie,"36 Crossley St, Melbourne, Australia",organ works,1920
"Poole, W.J.A.","36 Crossley St, Melbourne, Australia",fancy leather goods manufacture,1940
[no data],"- Dean Al, Melbourne, Australia",[no data],1940
"Turvey, Mrs M.","155 Exhibition St, Melbourne, Australia",hairdresser,1940
Warwick House Flats,"157 Exhibition St, Melbourne, Australia",[no data],1940
"Walker, Miss Nora","157 Exhibition St, Melbourne, Australia",[no data],1940
"Hurry, T.R.","159 Exhibition St, Melbourne, Australia",tobacconist,1940
"Currie, Miss V.","161 Exhibition St, Melbourne, Australia",confectioner,1940
Balkan Club,"163 Exhibition St, Melbourne, Australia",[no data],1940
Meadmore Model Engineering Co,"163 Exhibition St, Melbourne, Australia",model toys manufacturers,1940
"Clare Castle Hotel - Higgins, Gordon","166 Exhibition St, Melbourne, Australia",[no data],1940
"Lim, L.H.","167 Exhibition St, Melbourne, Australia",herbalist,1940
"Rawson, R.R.","169 Exhibition St, Melbourne, Australia",bookshop,1940
"Busst, Miss Phyllis","169 Exhibition St, Melbourne, Australia",[no data],1940
"McKenzie, H.L.","173 Exhibition St, Melbourne, Australia",cafe,1940
Broadway All Night Cafe,"174 Exhibition St, Melbourne, Australia",[no data],1940
James Chocolate & Candy Shop,"175 Exhibition St, Melbourne, Australia",[no data],1940
vacant,"180 Exhibition St, Melbourne, Australia",[no data],1940
"Di Mase, A.","181 Exhibition St, Melbourne, Australia",tailor,1940
International Book Shop Pty Ltd,"182 Exhibition St, Melbourne, Australia",booksellers,1940
Nam Wah Cafe,"183 Exhibition St, Melbourne, Australia",[no data],1940
Cole's Dancing Academy,"184 Exhibition St, Melbourne, Australia",[no data],1940
"Compton, Mrs M.","185 Exhibition St, Melbourne, Australia",confectioner,1940
Rent-A-Car Pty Ltd,"186 Exhibition St, Melbourne, Australia",hire & drive service,1940
"Athas, J.","187 Exhibition St, Melbourne, Australia",boot repairer,1940
Hennessy's Used Cars,"188 Exhibition St, Melbourne, Australia",motor cars - used,1940
"Den, George","189 Exhibition St, Melbourne, Australia",herbalist,1940
"Rochlin, Emanuel","191 Exhibition St, Melbourne, Australia",chemist,1940
"Sayers, Samuel J.","193 Exhibition St, Melbourne, Australia",hairdresser & tobacconist,1940
Her Majesty's ,"195 Exhibition St, Melbourne, Australia",confectioners,1940
"Manoussakis, E.G.","195 Exhibition St, Melbourne, Australia",[no data],1940
"Melbourne Club Hotel - Vigano, Anthony","198 Exhibition St, Melbourne, Australia",[no data],1940
Mario's Cafe,"200 Exhibition St, Melbourne, Australia",[no data],1940
Her Majesty's Theatre,"205 Exhibition St, Melbourne, Australia",[no data],1940
"Hillier, E. (Vict) Pty Ltd","205 Exhibition St, Melbourne, Australia",confectioners,1940
Theatrical Proprietors & Managers Association of Australasia,"205 Exhibition St, Melbourne, Australia",[no data],1940
"Triaca, Camillo","206 Exhibition St, Melbourne, Australia",wine saloon,1940
Cafe Latin,"206 Exhibition St, Melbourne, Australia",[no data],1940
"Ischia, G.","212 Exhibition St, Melbourne, Australia",?tlr,1940
"Ischis, J.","212 Exhibition St, Melbourne, Australia",hairdresser,1940
Melbourne Steam Laundry,"214 Exhibition St, Melbourne, Australia",[no data],1940
Overseas Motors Pty Ltd,"218 Exhibition St, Melbourne, Australia",motor car agents,1940
"Williamson, J.C. Ltd","221 Exhibition St, Melbourne, Australia",fancy costumes for hire,1940
Comedy Theatre,"224 Exhibition St, Melbourne, Australia",[no data],1940
Australian & New Zealand Theatres Ltd,"224 Exhibition St, Melbourne, Australia",[no data],1940
"Tait, J. & N.","224 Exhibition St, Melbourne, Australia",concert promoters,1940
"Williamson, J.C. Ltd","224 Exhibition St, Melbourne, Australia",theatrical entrepreneurs,1940
vacant,"229 Exhibition St, Melbourne, Australia",[no data],1940
Joes Comedy Cafe,"231 Exhibition St, Melbourne, Australia",[no data],1940
"Manton, Miss Mary E.","231 Exhibition St, Melbourne, Australia",[no data],1940
"Wilson, Miss Betty","233 Exhibition St, Melbourne, Australia",confectioner,1940
Electric Bakery,"235 Exhibition St, Melbourne, Australia",pastrycooks,1940
"Lange, Berthold W.","235 Exhibition St, Melbourne, Australia",[no data],1940
Anketell Motors Pty Ltd,"237 Exhibition St, Melbourne, Australia",motor cars - used,1940
[no data],"- Globe Al, Melbourne, Australia",[no data],1940
"Wright, P.E., & Son","1 Globe Al, Melbourne, Australia",pntrs & dcrtrs,1916
"Wright, P.E., & Son","1 Globe Al, Melbourne, Australia",pntrs & dcrtrs,1917
"Wright, P.E., & Son","1 Globe Al, Melbourne, Australia",pntrs & pcrtrs,1918
"Wright, P.E. & Son","1 Globe Al, Melbourne, Australia",pntrs & dcrtrs,1919
"Wright, P.E., & Son","1 Globe Al, Melbourne, Australia",pntrs & dcrtrs,1920
Salvation Army Mission Hall,"- Greville Pl, Melbourne, Australia",[no data],1940
Boomerang Linotypers,"- Harwood Pl, Melbourne, Australia",linotypers,1940
"Hawkey, W.H.","- Harwood Pl, Melbourne, Australia",fancy goods manufacturer,1940
Overseas Electrical Distributers,"- Harwood Pl, Melbourne, Australia",electrical generator manufactures,1940
Let Kee,"1 Harwood Pl, Melbourne, Australia",cabinetmaker,1900
Lee Kee,"1 Harwood Pl, Melbourne, Australia",cabinetmaker,1901
Let Kee,"1 Harwood Pl, Melbourne, Australia",cabinetmaker,1902
Ah Gee,"2 Harwood Pl, Melbourne, Australia",cabinetmaker,1900
Ah Gee,"2 Harwood Pl, Melbourne, Australia",cabinetmaker,1901
Ah Gee,"2 Harwood Pl, Melbourne, Australia",cabinetmaker,1902
Hep Loong,"3 Harwood Pl, Melbourne, Australia",[no data],1900
Hep Loong,"3 Harwood Pl, Melbourne, Australia",[no data],1901
Hong Kee,"3 Harwood Pl, Melbourne, Australia",cabinetmaker,1902
Hong Kee,"4 Harwood Pl, Melbourne, Australia",cabinetmaker,1900
Hong Kee,"4 Harwood Pl, Melbourne, Australia",cabinetmaker,1901
Yow Jong,"4 Harwood Pl, Melbourne, Australia",cabinetmaker,1902
Yow Jong,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1900
Yow Jong,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1901
1st of '2 vacant houses',"5 Harwood Pl, Melbourne, Australia",vacant,1902
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1903
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1904
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1905
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1906
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1907
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1908
Ah Kit Bros,"5 Harwood Pl, Melbourne, Australia",cabinetmakers,1909
Pon Kee,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1910
Pon Kee,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1911
Pon Kee,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1912
Kong Wun Lung,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1913
Kong Wun Lung,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1914
Kong Wun Lung,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1915
Kong Wun Lung,"5 Harwood Pl, Melbourne, Australia",cabinetmaker,1916
"Meyers, C.N.","5 Harwood Pl, Melbourne, Australia",paper mercht,1917
"Meyers, C.N.","5 Harwood Pl, Melbourne, Australia",paper mercht,1918
"Meyers, C.N.","5 Harwood Pl, Melbourne, Australia",paper mercht,1919
vacant,"5 Harwood Pl, Melbourne, Australia",vacant,1920
1st of 'two houses occupied by Chinese,"6 Harwood Pl, Melbourne, Australia",[no data],1900
1st of '2 houses unoccupied',"6 Harwood Pl, Melbourne, Australia",vacant,1901
2nd of '2 vacant houses',"6 Harwood Pl, Melbourne, Australia",vacant,1902
2nd of 'two houses occupied by Chinese,"7 Harwood Pl, Melbourne, Australia",[no data],1900
2nd of '2 houses unoccupied',"7 Harwood Pl, Melbourne, Australia",vacant,1901
1st of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1900
2nd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1900
3rd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1900
4th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1900
5th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1900
6th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1900
1st of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1901
2nd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1901
3rd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1901
4th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1901
5th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1901
6th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1901
1st of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1902
2nd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1902
3rd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1902
4th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1902
5th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1902
6th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1902
1st of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1903
2nd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1903
3rd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1903
4th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1903
5th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1903
6th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1903
1st of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1904
2nd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1904
3rd of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1904
4th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1904
5th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1904
6th of '6 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1904
1st of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
2nd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
3rd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
4th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
5th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
6th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
7th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1905
1st of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
2nd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
3rd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
4th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
5th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
6th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
7th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1906
1st of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
2nd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
3rd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
4th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
5th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
6th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
7th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1907
1st of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
2nd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
3rd of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
4th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
5th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
6th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
7th of '7 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1908
1st of '4 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1912
2nd of '4 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1912
3rd of '4 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1912
4th of '4 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1912
1st of '5 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1913
2nd of '5 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1913
3rd of '5 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1913
4th of '5 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1913
5th of '5 houses occupied by Chinese',"? Heffernan La, Melbourne, Australia",[no data],1913
Melb City Council battery house,"? Heffernan La, Melbourne, Australia",[no data],1913
Melb City Council battery house,"? Heffernan La, Melbourne, Australia",[no data],1914
Melb City Council battery house,"? Heffernan La, Melbourne, Australia",[no data],1915
Melbourne City Council battery house,"? Heffernan La, Melbourne, Australia",[no data],1916
